"","penalty taker","penalties","goal","save","miss"
"Sölvi Vatnhamar","Sölvi Vatnhamar",30,96.6666666666667,3.33333333333333,0
"Marcin Robak","Marcin Robak",33,93.9393939393939,6.06060606060606,0
"Besnik Krasniqi","Besnik Krasniqi",32,93.75,6.25,0
"Bibras Natcho","Bibras Natcho",46,93.4782608695652,4.34782608695652,2.17391304347826
"Harry Kane","Harry Kane",49,91.8367346938776,4.08163265306122,4.08163265306122
"Romelu Lukaku","Romelu Lukaku",35,91.4285714285714,8.57142857142857,0
"Radamel Falcao","Radamel Falcao",32,90.625,6.25,3.125
"Bas Dost","Bas Dost",30,90,6.66666666666667,3.33333333333333
"Bruno Fernandes","Bruno Fernandes",50,90,6,4
"Dusan Tadic","Dusan Tadic",40,90,10,0
"Lior Refaelov","Lior Refaelov",30,90,3.33333333333333,6.66666666666667
"Neymar","Neymar",30,90,6.66666666666667,3.33333333333333
"Filip Starzynski","Filip Starzynski",46,89.1304347826087,8.69565217391304,2.17391304347826
"Andrej Kramaric","Andrej Kramaric",43,88.3720930232558,6.97674418604651,4.65116279069767
"Zakaria Beglarishvili","Zakaria Beglarishvili",34,88.2352941176471,11.7647058823529,0
"Domenico Berardi","Domenico Berardi",41,87.8048780487805,7.31707317073171,4.8780487804878
"Jóannes Bjartalid","Jóannes Bjartalid",41,87.8048780487805,12.1951219512195,0
"Karim Benzema","Karim Benzema",31,87.0967741935484,6.45161290322581,6.45161290322581
"Mario Balotelli","Mario Balotelli",38,86.8421052631579,13.1578947368421,0
"Jorginho","Jorginho",53,86.7924528301887,13.2075471698113,0
"Mikel Oyarzabal","Mikel Oyarzabal",30,86.6666666666667,6.66666666666667,6.66666666666667
"Thomas Müller","Thomas Müller",30,86.6666666666667,10,3.33333333333333
"Wissam Ben Yedder","Wissam Ben Yedder",44,86.3636363636364,13.6363636363636,0
"Robert Lewandowski","Robert Lewandowski",51,86.2745098039216,9.80392156862745,3.92156862745098
"Ivan Krstanovic","Ivan Krstanovic",50,86,8,6
"Clayton Failla","Clayton Failla",35,85.7142857142857,5.71428571428571,8.57142857142857
"Alexandre Lacazette","Alexandre Lacazette",41,85.3658536585366,7.31707317073171,7.31707317073171
"Guillaume Hoarau","Guillaume Hoarau",34,85.2941176470588,5.88235294117647,8.82352941176471
"João Pedro","João Pedro",34,85.2941176470588,11.7647058823529,2.94117647058824
"Flávio Paixão","Flávio Paixão",40,85,7.5,7.5
"Michael Liendl","Michael Liendl",39,84.6153846153846,12.8205128205128,2.56410256410256
"Iago Aspas","Iago Aspas",32,84.375,15.625,0
"Andrea Belotti","Andrea Belotti",31,83.8709677419355,9.67741935483871,6.45161290322581
"Lorenzo Insigne","Lorenzo Insigne",37,83.7837837837838,10.8108108108108,5.40540540540541
"Cristiano Ronaldo","Cristiano Ronaldo",73,83.5616438356164,10.958904109589,5.47945205479452
"Bruno Petkovic","Bruno Petkovic",30,83.3333333333333,16.6666666666667,0
"Eden Hazard","Eden Hazard",30,83.3333333333333,16.6666666666667,0
"Max Gradel","Max Gradel",30,83.3333333333333,13.3333333333333,3.33333333333333
"Jamie Vardy","Jamie Vardy",33,81.8181818181818,12.1212121212121,6.06060606060606
"Edinson Cavani","Edinson Cavani",41,80.4878048780488,17.0731707317073,2.4390243902439
"Teun Koopmeiners","Teun Koopmeiners",35,80,14.2857142857143,5.71428571428571
"Patrick Hoban","Patrick Hoban",32,78.125,15.625,6.25
"Lionel Messi","Lionel Messi",44,77.2727272727273,20.4545454545455,2.27272727272727
"James Tavernier","James Tavernier",52,76.9230769230769,7.69230769230769,15.3846153846154
"Ciro Immobile","Ciro Immobile",56,76.7857142857143,16.0714285714286,7.14285714285714
"Sergio Agüero","Sergio Agüero",37,75.6756756756757,16.2162162162162,8.10810810810811
"Paulinho","Paulinho",36,75,22.2222222222222,2.77777777777778
"Memphis Depay","Memphis Depay",31,74.1935483870968,12.9032258064516,12.9032258064516
"Mijo Caktas","Mijo Caktas",38,73.6842105263158,10.5263157894737,15.7894736842105
"Klaemint Olsen","Klaemint Olsen",30,73.3333333333333,20,6.66666666666667
"Dani Parejo","Dani Parejo",30,66.6666666666667,23.3333333333333,10
