"","goalkeeper","penalties","goal","save","miss"
"Dominik Livakovic","Dominik Livakovic",35,71.4285714285714,25.7142857142857,2.85714285714286
"Gianluigi Donnarumma","Gianluigi Donnarumma",36,63.8888888888889,25,11.1111111111111
"Mike Maignan","Mike Maignan",37,67.5675675675676,24.3243243243243,8.10810810810811
"Yuriy Pankiv","Yuriy Pankiv",38,71.0526315789474,23.6842105263158,5.26315789473684
"Aleksandr Belenov","Aleksandr Belenov",41,68.2926829268293,21.9512195121951,9.75609756097561
"Baptiste Reynet","Baptiste Reynet",41,75.609756097561,21.9512195121951,2.4390243902439
"Sammy Bossut","Sammy Bossut",37,78.3783783783784,21.6216216216216,0
"Wojciech Szczesny","Wojciech Szczesny",56,73.2142857142857,21.4285714285714,5.35714285714286
"Dusan Kuciak","Dusan Kuciak",47,72.3404255319149,21.2765957446809,6.38297872340426
"Marafona","Marafona",38,76.3157894736842,21.0526315789474,2.63157894736842
"Jeroen Zoet","Jeroen Zoet",39,76.9230769230769,20.5128205128205,2.56410256410256
"Heinz Lindner","Heinz Lindner",35,77.1428571428572,20,2.85714285714286
"Simon Mignolet","Simon Mignolet",40,77.5,20,2.5
"Lukasz Fabianski","Lukasz Fabianski",36,72.2222222222222,19.4444444444444,8.33333333333333
"Oliver Baumann","Oliver Baumann",42,73.8095238095238,19.047619047619,7.14285714285714
"Emil Audero","Emil Audero",37,78.3783783783784,18.9189189189189,2.7027027027027
"Romain Ruffier","Romain Ruffier",53,75.4716981132076,18.8679245283019,5.66037735849057
"Benoît Costil","Benoît Costil",43,76.7441860465116,18.6046511627907,4.65116279069767
"Andrea Consigli","Andrea Consigli",44,79.5454545454545,18.1818181818182,2.27272727272727
"Bartlomiej Dragowski","Bartlomiej Dragowski",39,79.4871794871795,17.9487179487179,2.56410256410256
"Sergio Padt","Sergio Padt",39,74.3589743589744,17.9487179487179,7.69230769230769
"Sinan Bolat","Sinan Bolat",39,82.051282051282,17.9487179487179,0
"Fernando Muslera","Fernando Muslera",45,77.7777777777778,17.7777777777778,4.44444444444444
"Kevin Trapp","Kevin Trapp",35,80,17.1428571428571,2.85714285714286
"Yann Sommer","Yann Sommer",41,73.1707317073171,17.0731707317073,9.75609756097561
"Manuel Neuer","Manuel Neuer",37,75.6756756756757,16.2162162162162,8.10810810810811
"Pepe Reina","Pepe Reina",37,81.0810810810811,16.2162162162162,2.7027027027027
"Lukasz Skorupski","Lukasz Skorupski",45,77.7777777777778,15.5555555555556,6.66666666666667
"Silviu Lung Jr.","Silviu Lung Jr.",40,75,15,10
"Samir Handanovic","Samir Handanovic",47,78.7234042553192,14.8936170212766,6.38297872340426
"Mladen Matkovic","Mladen Matkovic",34,76.4705882352941,14.7058823529412,8.82352941176471
"Sean O'neill","Sean O'neill",34,70.5882352941177,14.7058823529412,14.7058823529412
"Frantisek Plach","Frantisek Plach",35,74.2857142857143,14.2857142857143,11.4285714285714
"Kasper Schmeichel","Kasper Schmeichel",49,81.6326530612245,14.2857142857143,4.08163265306122
"Rui Patrício","Rui Patrício",50,82,14,4
"Alban Lafont","Alban Lafont",58,82.7586206896552,13.7931034482759,3.44827586206897
"Emiliano Viviano","Emiliano Viviano",37,81.0810810810811,13.5135135135135,5.40540540540541
"Ruud Boffin","Ruud Boffin",37,86.4864864864865,13.5135135135135,0
"Guillaume Faivre","Guillaume Faivre",41,82.9268292682927,12.1951219512195,4.8780487804878
"Arkadiusz Malarz","Arkadiusz Malarz",34,85.2941176470588,11.7647058823529,2.94117647058824
"Anthony Lopes","Anthony Lopes",55,83.6363636363636,10.9090909090909,5.45454545454545
"Benjamin Lecomte","Benjamin Lecomte",37,83.7837837837838,10.8108108108108,5.40540540540541
"Marco Bizot","Marco Bizot",57,82.4561403508772,10.5263157894737,7.01754385964912
"Bernd Leno","Bernd Leno",40,87.5,10,2.5
"Hugo Lloris","Hugo Lloris",51,84.3137254901961,9.80392156862745,5.88235294117647
"Juan Musso","Juan Musso",41,87.8048780487805,9.75609756097561,2.4390243902439
"Paul Bernardoni","Paul Bernardoni",44,88.6363636363636,9.09090909090909,2.27272727272727
"Jonathan Joubert","Jonathan Joubert",34,88.2352941176471,8.82352941176471,2.94117647058824
"Erwin Mulder","Erwin Mulder",37,83.7837837837838,8.10810810810811,8.10810810810811
"Steve Mandanda","Steve Mandanda",40,90,7.5,2.5
"Matz Sels","Matz Sels",39,89.7435897435898,5.12820512820513,5.12820512820513
