"","club team","penalties","goal","save","miss"
"Fc Flora Tallinn","Fc Flora Tallinn",67,89.5522388059701,10.4477611940298,0
"Rsc Anderlecht","Rsc Anderlecht",67,88.0597014925373,8.95522388059701,2.98507462686567
"Vitória Guimarães Sc","Vitória Guimarães Sc",71,87.3239436619718,8.45070422535211,4.22535211267606
"Bayern Munich","Bayern Munich",76,86.8421052631579,7.89473684210526,5.26315789473684
"Lechia Gdansk","Lechia Gdansk",75,86.6666666666667,6.66666666666667,6.66666666666667
"Sl Benfica","Sl Benfica",86,86.046511627907,10.4651162790698,3.48837209302326
"Fci Levadia","Fci Levadia",70,85.7142857142857,11.4285714285714,2.85714285714286
"As Roma","As Roma",82,85.3658536585366,9.75609756097561,4.8780487804878
"Juventus Fc","Juventus Fc",95,85.2631578947368,8.42105263157895,6.31578947368421
"Acf Fiorentina","Acf Fiorentina",80,85,11.25,3.75
"Liverpool Fc","Liverpool Fc",73,84.9315068493151,9.58904109589041,5.47945205479452
"As Monaco","As Monaco",78,84.6153846153846,12.8205128205128,2.56410256410256
"Olympique Lyon","Olympique Lyon",83,84.3373493975904,9.63855421686747,6.02409638554217
"Paok Thessaloniki","Paok Thessaloniki",76,84.2105263157895,11.8421052631579,3.94736842105263
"Gnk Dinamo Zagreb","Gnk Dinamo Zagreb",88,84.0909090909091,11.3636363636364,4.54545454545455
"Losc Lille","Losc Lille",69,84.0579710144928,14.4927536231884,1.44927536231884
"Olympiacos Piraeus","Olympiacos Piraeus",73,83.5616438356164,13.6986301369863,2.73972602739726
"Paris Saint-Germain","Paris Saint-Germain",100,83,14,3
"Celtic Fc","Celtic Fc",76,82.8947368421053,14.4736842105263,2.63157894736842
"Panathinaikos Athens","Panathinaikos Athens",70,82.8571428571429,12.8571428571429,4.28571428571429
"Besiktas Jk","Besiktas Jk",81,82.7160493827161,9.87654320987654,7.40740740740741
"Sporting Cp","Sporting Cp",97,82.4742268041237,12.3711340206186,5.15463917525773
"Az Alkmaar","Az Alkmaar",78,82.051282051282,11.5384615384615,6.41025641025641
"Hnk Hajduk Split","Hnk Hajduk Split",89,82.0224719101124,8.98876404494382,8.98876404494382
"Fc Basel 1893","Fc Basel 1893",83,81.9277108433735,12.0481927710843,6.02409638554217
"Hnk Rijeka","Hnk Rijeka",87,81.6091954022989,14.9425287356322,3.44827586206897
"Red Star Belgrade","Red Star Belgrade",102,81.3725490196078,10.7843137254902,7.84313725490196
"Chelsea Fc","Chelsea Fc",96,81.25,14.5833333333333,4.16666666666667
"Manchester United","Manchester United",95,81.0526315789474,12.6315789473684,6.31578947368421
"Fc Luzern","Fc Luzern",73,80.8219178082192,15.0684931506849,4.10958904109589
"Ajax Amsterdam","Ajax Amsterdam",81,80.2469135802469,13.5802469135802,6.17283950617284
"Dynamo Kyiv","Dynamo Kyiv",81,80.2469135802469,11.1111111111111,8.64197530864197
"Bsc Young Boys","Bsc Young Boys",105,80,14.2857142857143,5.71428571428571
"Dundalk Fc","Dundalk Fc",70,80,14.2857142857143,5.71428571428571
"Fc Zürich","Fc Zürich",75,80,12,8
"Ssc Napoli","Ssc Napoli",90,80,11.1111111111111,8.88888888888889
"Ac Milan","Ac Milan",74,79.7297297297297,13.5135135135135,6.75675675675676
"Red Bull Salzburg","Red Bull Salzburg",93,79.5698924731183,11.8279569892473,8.60215053763441
"Ss Lazio","Ss Lazio",93,79.5698924731183,15.0537634408602,5.37634408602151
"Fk Partizan Belgrade","Fk Partizan Belgrade",73,79.4520547945205,16.4383561643836,4.10958904109589
"Shakhtar Donetsk","Shakhtar Donetsk",82,78.0487804878049,18.2926829268293,3.65853658536585
"Ferencvárosi Tc","Ferencvárosi Tc",67,77.6119402985075,16.4179104477612,5.97014925373134
"Psv Eindhoven","Psv Eindhoven",71,77.4647887323944,18.3098591549296,4.22535211267606
"Trabzonspor","Trabzonspor",75,76,17.3333333333333,6.66666666666667
"Fc Porto","Fc Porto",90,75.5555555555556,17.7777777777778,6.66666666666667
"Nk Osijek","Nk Osijek",69,75.3623188405797,15.9420289855072,8.69565217391304
"Fc St. Gallen 1879","Fc St. Gallen 1879",72,75,16.6666666666667,8.33333333333333
"Zenit St. Petersburg","Zenit St. Petersburg",67,74.6268656716418,19.4029850746269,5.97014925373134
"Feyenoord Rotterdam","Feyenoord Rotterdam",74,74.3243243243243,20.2702702702703,5.40540540540541
"Manchester City","Manchester City",94,72.3404255319149,17.0212765957447,10.6382978723404
"Slaven Belupo Koprivnica","Slaven Belupo Koprivnica",67,71.6417910447761,20.8955223880597,7.46268656716418
"Zorya Lugansk","Zorya Lugansk",67,70.1492537313433,17.910447761194,11.9402985074627
