"","goal","penalties","order"
"1",77.2,1759,"1"
"2",76.29,1759,"2"
"3",72.54,1759,"3"
"4",75.9,1759,"4"
"5",75.04,1759,"5"
"6",74.02,1759,"6"
"7",72.81,1736,"7"
"8",73.52,1624,"8"
"9",74.62,1379,"9"
"10",75.85,998,"10"
"11",74.53,530,"11"
"12",76.6,530,"12"
"13",78.19,321,"13"
"14",69.16,321,"14"
"15",73,200,"15"
"16",70.5,200,"16"
"17",61.9,105,"17"
"18",80,105,"18"
"19",69.64,56,"19"
"20",69.64,56,"20"
"21",80.56,36,"21"
"22",72.22,36,"22"
"23",68,25,"23"
"24",84,25,"24"
"25",92.31,13,"25"
"26",84.62,13,"26"
"27",60,10,"27"
"28",90,10,"28"
"29",71.43,7,"29"
"30",71.43,7,"30"
"31",0,3,"31"
"32",100,3,"32"
