"","tournament","country","penalties_D1","regulation_D1","extra_time_D1","shootout_D1","penalties_D2","regulation_D2","extra_time_D2","shootout_D2","penalties_D3","regulation_D3","extra_time_D3","shootout_D3"
"cups/rup-russischer-pokal","Russian Cup","Russia","2251","379","21","1851","2216","346","19","1851","1905","344","19","1542"
"cups/frc-coupe-de-france","Coupe de France","France","1805","267","9","1529","1529","0","0","1529","532","0","0","532"
"cups/cgb-efl-cup","EFL Cup","England","1776","216","12","1548","1775","215","12","1548","1467","215","12","1240"
"leagues/it1-serie-a","Serie A","Italy","1461","1461","0","0","1050","1050","0","0","1050","1050","0","0"
"leagues/es1-laliga","La Liga","Spain","1325","1325","0","0","871","871","0","0","524","524","0","0"
"cups/trp-türkiye-kupasi","Turkish Cup","Turkey","1285","545","34","706","1057","329","22","706","405","382","23","0"
"leagues/tr1-super-lig","Süper Lig","Turkey","1207","1207","0","0","1076","1076","0","0","1076","1076","0","0"
"leagues/po1-liga-portugal-bwin","Liga Portugal","Portugal","1101","1101","0","0","699","699","0","0","783","783","0","0"
"cups/nopo-nm-cup","Norwegian Football Cup","Norway","1098","343","29","726","726","0","0","726","308","0","0","308"
"leagues/fr1-ligue-1","Ligue 1","France","1094","1094","0","0","989","989","0","0","1076","1076","0","0"
"cups/dfb-dfb-pokal","DFB-Pokal","Germany","1063","207","14","842","1063","207","14","842","808","207","14","587"
"leagues/pl1-pko-ekstraklasa","Poland Ekstraklasa","Poland","1027","1027","0","0","1015","1015","0","0","941","941","0","0"
"leagues/l1-bundesliga","Bundesliga","Germany","984","984","0","0","702","702","0","0","595","595","0","0"
"leagues/be1-jupiler-pro-league","Belgian Pro League","Belgium","959","959","0","0","696","696","0","0","696","696","0","0"
"cups/cit-coppa-italia","Coppa Italia","Italy","926","240","21","665","925","239","21","665","925","239","21","665"
"cups/popu-fortuna-polnischer-pokal","Polish Cup","Poland","903","293","28","582","866","260","24","582","767","260","24","483"
"leagues/gb1-premier-league","Premier League","England","890","890","0","0","888","888","0","0","789","789","0","0"
"leagues/ro1-liga-1","Liga 1","Romania","881","881","0","0","478","478","0","0","386","386","0","0"
"leagues/ru1-premier-liga","Russian Premier League","Russia","841","841","0","0","567","567","0","0","538","538","0","0"
"cups/cdr-copa-del-rey","Copa del Rey","Spain","823","250","13","560","794","222","12","560","742","205","10","527"
"leagues/ser1-super-liga-srbije","Serbian Super League","Serbia","807","807","0","0","561","561","0","0","666","666","0","0"
"cups/popo-taça-de-portugal-placard","Taça de Portugal","Portugal","803","314","22","467","759","271","21","467","689","290","21","378"
"leagues/nl1-eredivisie","Eredivisie","Netherlands","794","794","0","0","792","792","0","0","792","792","0","0"
"cups/ofb-öfb-cup","Austrian Cup","Austria","790","218","12","560","789","218","11","560","758","218","11","529"
"leagues/ung1-nemzeti-bajnoksag","Nemzeti Bajnokság","Hungary","788","788","0","0","503","503","0","0","544","544","0","0"
"cups/fac-fa-cup","FA Cup","England","773","382","14","377","773","382","14","377","736","346","13","377"
"leagues/gr1-super-league-1","Super League Greece 1","Greece","752","752","0","0","547","547","0","0","547","547","0","0"
"cups/ukrp-ukrainischer-pokal","Ukrainian Cup","Ukraine","737","148","7","582","729","140","7","582","729","140","7","582"
"int_cups/el-europa-league","Europa League",NA,"709","518","3","188","707","516","3","188","707","516","3","188"
"leagues/lux1-bgl-ligue","National Division","Luxembourg","701","701","0","0","635","635","0","0","635","635","0","0"
"leagues/kr1-1-hnl","Croatian football league","Croatia","695","695","0","0","621","621","0","0","621","621","0","0"
"leagues/sc1-scottish-premiership","Scottish Premiership","Scotland","674","674","0","0","554","554","0","0","426","426","0","0"
"cups/nlp-knvb-beker","KNVB Beker","Netherlands","652","195","8","449","651","194","8","449","649","192","8","449"
"leagues/ukr1-premier-liga","Ukrainian Premier League","Ukraine","652","652","0","0","538","538","0","0","633","633","0","0"
"leagues/c1-super-league","Swiss Super League","Switzerland","651","651","0","0","595","595","0","0","595","595","0","0"
"cups/sfa-scottish-fa-cup","Scottish Cup","Scotland","648","314","15","319","648","314","15","319","647","313","15","319"
"cups/dkp-sydbank-pokalen","Danish Cup","Denmark","647","225","13","409","643","221","13","409","298","0","0","298"
"leagues/mal1-premier-league","Maltese Premier League","Malta","647","647","0","0","592","592","0","0","386","386","0","0"
"cups/tsp-mol-cup","Czech Cup","Czech Republic","634","303","12","319","319","0","0","319","295","0","0","295"
"leagues/nir1-danske-bank-premiership","NIFL Irish Premiership","Northern Ireland","623","623","0","0","567","567","0","0","567","567","0","0"
"leagues/est1-premium-liiga","Meistriliiga","Estonia","614","614","0","0","495","495","0","0","495","495","0","0"
"cups/skc-slovnaft-cup","Slovak Cup","Slovakia","582","218","2","362","362","0","0","362","454","170","1","283"
"cups/grp-kypello-elladas","Greek Football Cup","Greece","565","249","13","303","564","248","13","303","503","217","7","279"
"cups/fis-suomen-cup","Finnish Cup","Finland","560","224","2","334","482","148","0","334","510","175","1","334"
"cups/bihp-kup-bih","Bosnia and Herzegovina Football Cup","Bosnia-Herzegovina","553","102","0","451","532","81","0","451","81","81","0","0"
"cups/wrpo-belarusian-cup","Belarusian Cup","Belarus","545","183","5","357","489","128","4","357","374","128","4","242"
"leagues/ts1-fortuna-liga","Czech First League","Czech Republic","542","542","0","0","331","331","0","0","331","331","0","0"
"leagues/isr1-ligat-haal","Israeli Premier League","Israel","535","535","0","0","476","476","0","0","424","424","0","0"
"int_cups/cl-uefa-champions-league","Champions League",NA,"524","485","4","35","273","235","3","35","332","294","3","35"
"leagues/a1-bundesliga","Austrian Football Bundesliga","Austria","512","512","0","0","459","459","0","0","459","459","0","0"
"cups/serp-kup-srbije","Serbian Cup","Serbia","511","83","0","428","508","80","0","428","327","80","0","247"
"cups/estp-eesti-karikas","Estonian Cup","Estonia","509","362","9","138","324","179","7","138","80","0","0","80"
"cups/ccb-beker-van-belgie","Belgian Cup","Belgium","500","161","9","330","500","161","9","330","500","161","9","330"
"cups/krc-hrvatski-nogometni-kup","Croatia Cup","Croatia","490","188","9","293","489","187","9","293","424","187","9","228"
"leagues/ir1-sse-airtricity-league-premier-division","League of Ireland Premier Division","Ireland","470","470","0","0","462","462","0","0","462","462","0","0"
"leagues/kas1-premier-liga","Kazakh Premier League","Kazakhstan","465","465","0","0","459","459","0","0","459","459","0","0"
"leagues/alb1-abissnet-superiore","Kategoria Superiore","Albania","460","460","0","0","363","363","0","0","363","363","0","0"
"leagues/fi1-veikkausliiga","Veikkausliiga","Finland","458","458","0","0","289","289","0","0","289","289","0","0"
"leagues/se1-allsvenskan","Allsvenskan","Sweden","445","445","0","0","444","444","0","0","444","444","0","0"
"leagues/maz1-prva-makedonska-fudbalska-liga","Macedonian First League","North Macedonia","441","441","0","0","0","0","0","0","0","0","0","0"
"leagues/zyp1-protathlima-cyta","Cypriot First Division","Cyprus","441","441","0","0","238","238","0","0","238","238","0","0"
"cups/scc-schweizer-cup","Swiss Cup","Switzerland","436","210","11","215","436","210","11","215","378","156","7","215"
"leagues/bu1-efbet-liga","Bulgarian First League","Bulgaria","435","435","0","0","423","423","0","0","423","423","0","0"
"cups/ungp-magyar-kupa","Hungarian Cup","Hungary","414","228","6","180","414","228","6","180","395","227","6","162"
"leagues/bos1-premijer-liga","Liga 12","Bosnia-Herzegovina","410","410","0","0","407","407","0","0","407","407","0","0"
"cups/romp-cupa-româniei","Romanian Cup","Romania","405","140","3","262","400","135","3","262","314","134","3","177"
"leagues/wer1-vysheyshaya-liga","Belarusian Premier League","Belarus","398","398","0","0","387","387","0","0","327","327","0","0"
"leagues/let1-virsliga","Latvian Higher League","Latvia","381","381","0","0","331","331","0","0","331","331","0","0"
"cups/bulp-bulgarian-cup","Bulgarian Cup","Bulgaria","379","104","2","273","377","102","2","273","335","101","2","232"
